date,day,Holiday,IsWeekend,IsOffDay,childs
2025-04-06,Sunday,,True,True,
2025-04-07,Monday,,False,False,0-120-135-150-255
2025-04-08,Tuesday,,False,False,1-286-301-316-331
2025-04-09,Wednesday,,False,False,2-165-180-195-347
2025-04-10,Thursday,,False,False,3-210-225-240-271-362
2025-04-11,Friday,,False,False,4-104
2025-04-12,Saturday,,True,True,5
2025-04-13,Sunday,,True,True,6
2025-04-14,Monday,,False,False,7-121-136-151-256
2025-04-15,Tuesday,,False,False,8-287-302-317-332
2025-04-16,Wednesday,,False,False,9-166-181-196-348
2025-04-17,Thursday,,False,False,10-211-226-241-272-363
2025-04-18,Friday,Good Friday,False,True,11-105-119
2025-04-19,Saturday,,True,True,12
2025-04-20,Sunday,,True,True,13
2025-04-21,Monday,Easter Monday,False,True,14-122-137-152-257-270
2025-04-22,Tuesday,,False,False,15-288-303-318-333-346
2025-04-23,Wednesday,,False,False,16-167-182-197-349
2025-04-24,Thursday,,False,False,17-212-227-242-273-364
2025-04-25,Friday,,False,False,18-103-106
2025-04-26,Saturday,,True,True,19
2025-04-27,Sunday,,True,True,20
2025-04-28,Monday,,False,False,21-123-138-153-258
2025-04-29,Tuesday,,False,False,22-289-304-319-334
2025-04-30,Wednesday,,False,False,23-168-183-198-350
2025-05-01,Thursday,Labour Day,False,True,24-213-228-243-274-365
2025-05-02,Friday,,False,False,25-107
2025-05-03,Saturday,,True,True,26
2025-05-04,Sunday,,True,True,27
2025-05-05,Monday,,False,False,28-124-139-154-259
2025-05-06,Tuesday,,False,False,29-290-305-320-335
2025-05-07,Wednesday,,False,False,30-169-184-199-351
2025-05-08,Thursday,,False,False,31-214-229-244-275-366
2025-05-09,Friday,,False,False,32-108
2025-05-10,Saturday,,True,True,33
2025-05-11,Sunday,,True,True,34
2025-05-12,Monday,,False,False,35-125-140-155-260
2025-05-13,Tuesday,,False,False,36-291-306-321-336
2025-05-14,Wednesday,,False,False,37-170-185-200-352
2025-05-15,Thursday,,False,False,38-215-230-245-276-367
2025-05-16,Friday,,False,False,39-109
2025-05-17,Saturday,,True,True,40
2025-05-18,Sunday,,True,True,41
2025-05-19,Monday,,False,False,42-126-141-156-261
2025-05-20,Tuesday,,False,False,43-292-307-322-337
2025-05-21,Wednesday,,False,False,44-171-186-201-353
2025-05-22,Thursday,,False,False,45-216-231-246-277-368
2025-05-23,Friday,,False,False,46-110
2025-05-24,Saturday,,True,True,47
2025-05-25,Sunday,,True,True,48
2025-05-26,Monday,,False,False,49-127-142-157-262
2025-05-27,Tuesday,,False,False,50-293-308-323-338
2025-05-28,Wednesday,,False,False,51-172-187-202-354
2025-05-29,Thursday,Ascension Thursday,False,True,52-217-232-247-278-369
2025-05-30,Friday,,False,False,53-111
2025-05-31,Saturday,,True,True,54
2025-06-01,Sunday,,True,True,55
2025-06-02,Monday,,False,False,56-128-143-158-263
2025-06-03,Tuesday,,False,False,57-294-309-324-339
2025-06-04,Wednesday,,False,False,58-173-188-203-355
2025-06-05,Thursday,,False,False,59-218-233-248-279-370
2025-06-06,Friday,,False,False,60-112
2025-06-07,Saturday,,True,True,61
2025-06-08,Sunday,,True,True,62
2025-06-09,Monday,Whit Monday,False,True,63-129-144-159-264
2025-06-10,Tuesday,,False,False,64-295-310-325-340
2025-06-11,Wednesday,,False,False,65-174-189-204-356
2025-06-12,Thursday,,False,False,66-219-234-249-280-371
2025-06-13,Friday,,False,False,67-113
2025-06-14,Saturday,,True,True,68
2025-06-15,Sunday,,True,True,69
2025-06-16,Monday,,False,False,70-130-145-160-265
2025-06-17,Tuesday,,False,False,71-296-311-326-341
2025-06-18,Wednesday,,False,False,72-175-190-205-357
2025-06-19,Thursday,,False,False,73-220-235-250-281-372
2025-06-20,Friday,,False,False,74-114
2025-06-21,Saturday,,True,True,75
2025-06-22,Sunday,,True,True,76
2025-06-23,Monday,,False,False,77-131-146-161-266
2025-06-24,Tuesday,,False,False,78-297-312-327-342
2025-06-25,Wednesday,,False,False,79-176-191-206-358
2025-06-26,Thursday,,False,False,80-221-236-251-282-373
2025-06-27,Friday,,False,False,81-115
2025-06-28,Saturday,,True,True,82
2025-06-29,Sunday,,True,True,83
2025-06-30,Monday,,False,False,84-132-147-162-267
2025-07-01,Tuesday,,False,False,85-298-313-328-343
2025-07-02,Wednesday,,False,False,86-177-192-207-359
2025-07-03,Thursday,,False,False,87-222-237-252-283-374
2025-07-04,Friday,,False,False,88-116
2025-07-05,Saturday,,True,True,89
2025-07-06,Sunday,,True,True,90
2025-07-07,Monday,,False,False,91-133-148-163-268
2025-07-08,Tuesday,,False,False,92-299-314-329-344
2025-07-09,Wednesday,,False,False,93-178-193-208-360
2025-07-10,Thursday,,False,False,94-223-238-253-284-375
2025-07-11,Friday,,False,False,95-117
2025-07-12,Saturday,,True,True,96
2025-07-13,Sunday,,True,True,97
2025-07-14,Monday,,False,False,98-134-149-164-269
2025-07-15,Tuesday,,False,False,99-300-315-330-345
2025-07-16,Wednesday,,False,False,100-179-194-209-361
2025-07-17,Thursday,,False,False,101-224-239-254-285-376
2025-07-18,Friday,,False,False,102-118
2025-07-19,Saturday,,True,True,
